Period,Application_ID,Cost,Source,Source_Item
2019-06,PYTHIA,2.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-01,PYTHIA,1.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-06,SISLAB,2143.0,Swisscom,Enterprise Service Cloud Platinum Basic UltraFast Storage units
2019-03,SISLAB,0.0,Azure,Bandwidth - Data Transfer In - Zone 1
2019-04,GEORE1,0.0,Azure,Standard HDD Managed Disks - Disk Operations
2019-05,SISLAB,81.0,Azure,Virtual Machines Dv3/DSv3 Series - D4 v3/D4s v3  - EU West
2019-01,SISLAB,5.0,Azure,General Block Blob - LRS Data Stored
2019-02,SISLAB,1.0,Azure,Tables - LRS Data Stored
2019-07,SISLAB,0.0,Azure,Files - Read Operations
2019-01,SISLAB,0.0,Azure,Tiered Block Blob - Hot - Read Operations - EU West
2019-09,SISLAB,28.0,Azure,SQL Database Single Standard - S3 - DTUs
2019-04,SISLAB,2.0,Azure,IP Addresses - Basic - Static Public IP
2017-11,DOCSEARCH,20611.0,Utilization,CTCO
2017-11,TMA,1222.0,Utilization,Parveez Fathima
2019-08,DSC,1877.0,Group Technology Management,Server Instances - Swisscom ESC
2019-02,WATSONEXP,170.0,Group Technology Management,Developer Workplace: DCSCM
2019-05,DATAROBOT,1625.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-04,INSIGHTSRE,45.0,Group Technology Management,Server Storage HNAS - on premise
2019-08,OCR,550.0,Group Technology Management,PowerCenter Applications
2019-01,LHTI,55.0,Group Technology Management,Swisscom Application Cloud Memory
2019-09,TMA,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-04,DNA,170.0,Group Technology Management,Developer Workplace: DCSCM
2019-02,GEORE1,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-01,DNA,622.0,Group Technology Management,Enterprise Backup
2019-03,SISLAB,170.0,Group Technology Management,Developer Workplace: VSTS
2019-07,SISLAB,170.0,Group Technology Management,Developer Workplace: VSTS
2019-04,SISLAB,9052.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
